xmin,xmax,ymin,ymax,count,x_center,y_center
-121.11001040625,-120.767708325,36.11833335,36.432385434375,2,-120.938859365625,36.2753593921875
-121.4523124875,-121.11001040625,36.432385434375,36.74643751875,25,-121.28116144687499,36.5894114765625
-121.11001040625,-120.767708325,36.432385434375,36.74643751875,7,-120.938859365625,36.5894114765625
-122.13691664999999,-121.4523124875,36.74643751875,37.3745416875,18,-121.79461456874999,37.060489603125
-121.4523124875,-120.767708325,36.74643751875,37.3745416875,3,-121.11001040625,37.060489603125
-120.767708325,-119.3985,36.11833335,37.3745416875,4,-120.0831041625,36.74643751875
-122.13691664999999,-120.767708325,37.3745416875,38.630750025,13,-121.4523124875,38.00264585625
-120.767708325,-119.3985,37.3745416875,38.630750025,2,-120.0831041625,38.00264585625
-124.8753333,-123.50612497499999,38.630750025,39.886958362499996,5,-124.1907291375,39.25885419375
-123.50612497499999,-122.82152081249998,38.630750025,39.25885419375,7,-123.16382289375,38.944802109375
-122.82152081249998,-122.65036977187498,38.630750025,38.787776067187494,7,-122.73594529218748,38.709263046093746
-122.82152081249998,-122.77873305234374,38.787776067187494,38.82703257773437,20,-122.80012693242186,38.80740432246093
